,id,region,start,end,strand
27434,27434,ENST00000217185,203,403,+
13400,13400,ENST00000367051,4701,4901,+
883,883,ENST00000360507,623,823,+
7303,7303,ENST00000489432,1469,1669,+
45124,45124,ENST00000309668,64,264,+
874,874,ENST00000335754,416,616,+
45943,45943,ENST00000595541,921,1121,+
11458,11458,ENST00000639499,457,657,+
23877,23877,ENST00000300061,831,1031,+
11,11,ENST00000526014,43,243,+
27813,27813,ENST00000588783,101,301,+
10713,10713,ENST00000281932,113,313,+
46014,46014,ENST00000510693,93,293,+
3645,3645,ENST00000302555,1363,1563,+
10448,10448,ENST00000374358,88,288,+
41968,41968,ENST00000323829,280,480,+
3813,3813,ENST00000368206,167,367,+
4523,4523,ENST00000430285,8,208,+
7231,7231,ENST00000560550,18,218,+
39423,39423,ENST00000506192,146,346,+
46647,46647,ENST00000419602,302,502,+
12547,12547,ENST00000652508,1,201,+
10917,10917,ENST00000367992,4,204,+
16904,16904,ENST00000253458,1587,1787,+
39863,39863,ENST00000626926,42,242,+
24728,24728,ENST00000329003,784,984,+
12695,12695,ENST00000395305,210,410,+
36114,36114,ENST00000374479,491,691,+
29694,29694,ENST00000413728,1186,1386,+
7528,7528,ENST00000514798,1156,1356,+
28808,28808,ENST00000549706,985,1185,+
4756,4756,ENST00000614640,40,240,+
30432,30432,ENST00000376452,275,475,+
1108,1108,ENST00000650697,1417,1617,+
11090,11090,ENST00000324907,1157,1357,+
42876,42876,ENST00000565186,659,859,+
28136,28136,ENST00000542824,427,627,+
19860,19860,ENST00000424325,206,406,+
8054,8054,ENST00000265293,521,721,+
5886,5886,ENST00000543336,1065,1265,+
44551,44551,ENST00000367614,2356,2556,+
3542,3542,ENST00000648665,2217,2417,+
8359,8359,ENST00000409476,234,434,+
15074,15074,ENST00000392799,751,951,+
40589,40589,ENST00000332118,965,1165,+
19528,19528,ENST00000528880,267,467,+
2333,2333,ENST00000360839,6904,7104,+
37768,37768,ENST00000665583,16,216,+
37791,37791,ENST00000539416,14,214,+
22894,22894,ENST00000367725,298,498,+
11790,11790,ENST00000451385,290,490,+
43628,43628,ENST00000592558,144,344,+
47118,47118,ENST00000518817,73,273,+
17703,17703,ENST00000649186,468,668,+
14474,14474,ENST00000517399,779,979,+
22427,22427,ENST00000524107,34,234,+
28883,28883,ENST00000443137,842,1042,+
5785,5785,ENST00000256854,471,671,+
27395,27395,ENST00000527838,213,413,+
5883,5883,ENST00000368757,1,201,+
37911,37911,ENST00000443584,1477,1677,+
7002,7002,ENST00000389645,1142,1342,+
8801,8801,ENST00000521333,11,211,+
39803,39803,ENST00000639767,134,334,+
46757,46757,ENST00000537098,406,606,+
34684,34684,ENST00000622645,97,297,+
17117,17117,ENST00000545204,3,203,+
31532,31532,ENST00000360184,11384,11584,+
268,268,ENST00000450673,305,505,+
3142,3142,ENST00000532330,410,610,+
4800,4800,ENST00000627748,1,201,+
35868,35868,ENST00000651178,575,775,+
7422,7422,ENST00000598409,4,204,+
21413,21413,ENST00000460465,524,724,+
4396,4396,ENST00000357947,1110,1310,+
2156,2156,ENST00000370591,1655,1855,+
28372,28372,ENST00000566658,2,202,+
32050,32050,ENST00000412504,641,841,+
1441,1441,ENST00000295685,83,283,+
25015,25015,ENST00000527142,238,438,+
25072,25072,ENST00000368471,2247,2447,+
27121,27121,ENST00000524945,718,918,+
49882,49882,ENST00000340446,1850,2050,+
19546,19546,ENST00000359359,469,669,+
35893,35893,ENST00000650547,58,258,+
13905,13905,ENST00000646968,9,209,+
32947,32947,ENST00000383170,20,220,+
15558,15558,ENST00000466197,184,384,+
6527,6527,ENST00000389568,260,460,+
49722,49722,ENST00000382821,131,331,+
17487,17487,ENST00000450845,409,609,+
37634,37634,ENST00000584288,1,201,+
16966,16966,ENST00000481785,1365,1565,+
12858,12858,ENST00000622072,472,672,+
48444,48444,ENST00000373955,2629,2829,+
11146,11146,ENST00000317827,394,594,+
24050,24050,ENST00000394976,23,223,+
1496,1496,ENST00000340645,412,612,+
733,733,ENST00000343820,103,303,+
44488,44488,ENST00000652479,361,561,+
11903,11903,ENST00000272167,388,588,+
11129,11129,ENST00000261263,142,342,+
16794,16794,ENST00000392662,60,260,+
33663,33663,ENST00000587142,47,247,+
21063,21063,ENST00000355758,2435,2635,+
2330,2330,ENST00000321688,390,590,+
6328,6328,ENST00000510088,68,268,+
48537,48537,ENST00000530956,74,274,+
36840,36840,ENST00000537566,37,237,+
2072,2072,ENST00000307851,81,281,+
35883,35883,ENST00000417626,1315,1515,+
19959,19959,ENST00000548933,366,566,+
38707,38707,ENST00000513257,547,747,+
23633,23633,ENST00000447863,458,658,+
3219,3219,ENST00000204005,792,992,+
28910,28910,ENST00000559275,1536,1736,+
23847,23847,ENST00000397887,29,229,+
45261,45261,ENST00000347370,294,494,+
24888,24888,ENST00000306507,871,1071,+
4040,4040,ENST00000326577,34,234,+
27396,27396,ENST00000004982,137,337,+
26244,26244,ENST00000543464,2356,2556,+
10410,10410,ENST00000514518,36,236,+
41277,41277,ENST00000361488,523,723,+
26419,26419,ENST00000268482,2494,2694,+
444,444,ENST00000655164,329,529,+
32613,32613,ENST00000360218,528,728,+
11250,11250,ENST00000476049,39,239,+
39232,39232,ENST00000413764,997,1197,+
40248,40248,ENST00000367862,65,265,+
39372,39372,ENST00000342085,1023,1223,+
13573,13573,ENST00000352732,500,700,+
26815,26815,ENST00000546970,375,575,+
48420,48420,ENST00000376488,1378,1578,+
25217,25217,ENST00000535015,1126,1326,+
1336,1336,ENST00000635904,143,343,+
6564,6564,ENST00000559004,1471,1671,+
4957,4957,ENST00000350119,471,671,+
48693,48693,ENST00000347132,1417,1617,+
3973,3973,ENST00000567445,3,203,+
16109,16109,ENST00000472543,299,499,+
22323,22323,ENST00000335515,211,411,+
5964,5964,ENST00000374005,425,625,+
31092,31092,ENST00000330125,55,255,+
34344,34344,ENST00000617575,950,1150,+
18925,18925,ENST00000392869,927,1127,+
28612,28612,ENST00000648271,30,230,+
21222,21222,ENST00000372915,19388,19588,+
6991,6991,ENST00000529894,83,283,+
29938,29938,ENST00000342833,382,582,+
43704,43704,ENST00000497206,993,1193,+
1474,1474,ENST00000475537,151,351,+
48990,48990,ENST00000637915,212,412,+
24645,24645,ENST00000442616,7,207,+
8857,8857,ENST00000534746,60,260,+
10877,10877,ENST00000400427,3723,3923,+
1553,1553,ENST00000372699,301,501,+
37578,37578,ENST00000534355,16,216,+
12689,12689,ENST00000602501,336,536,+
25617,25617,ENST00000423516,519,719,+
41109,41109,ENST00000333385,331,531,+
31132,31132,ENST00000317586,607,807,+
48803,48803,ENST00000466397,183,383,+
6043,6043,ENST00000618686,10,210,+
43547,43547,ENST00000321424,228,428,+
28912,28912,ENST00000382564,4,204,+
44032,44032,ENST00000269593,562,762,+
52,52,ENST00000379786,80,280,+
37954,37954,ENST00000643784,275,475,+
274,274,ENST00000321731,518,718,+
12231,12231,ENST00000361970,480,680,+
13721,13721,ENST00000381295,204,404,+
47340,47340,ENST00000652361,509,709,+
8490,8490,ENST00000638323,2724,2924,+
43142,43142,ENST00000497771,187,387,+
25219,25219,ENST00000255674,5222,5422,+
38951,38951,ENST00000540929,229,429,+
21567,21567,ENST00000376377,118,318,+
2119,2119,ENST00000504325,124,324,+
47553,47553,ENST00000342992,40425,40625,+
23725,23725,ENST00000361569,206,406,+
25603,25603,ENST00000331772,150,350,+
36283,36283,ENST00000341318,197,397,+
21197,21197,ENST00000649866,83,283,+
30433,30433,ENST00000649688,200,400,+
34155,34155,ENST00000572485,6,206,+
10454,10454,ENST00000334801,3262,3462,+
15621,15621,ENST00000444975,288,488,+
34509,34509,ENST00000637938,2729,2929,+
17987,17987,ENST00000602320,842,1042,+
24597,24597,ENST00000422605,2047,2247,+
5030,5030,ENST00000595894,48,248,+
34548,34548,ENST00000330154,1390,1590,+
14159,14159,ENST00000325881,89,289,+
6363,6363,ENST00000589288,443,643,+
40768,40768,ENST00000638112,257,457,+
20643,20643,ENST00000439696,317,517,+
15423,15423,ENST00000320295,543,743,+
49039,49039,ENST00000423902,6283,6483,+
21189,21189,ENST00000584129,5,205,+
15080,15080,ENST00000531221,526,726,+
15811,15811,ENST00000631086,65,265,+
30748,30748,ENST00000472870,63,263,+
36991,36991,ENST00000568415,233,433,+
41059,41059,ENST00000424032,164,364,+
39689,39689,ENST00000372327,40,240,+
30315,30315,ENST00000374583,1684,1884,+
31041,31041,ENST00000377633,754,954,+
27317,27317,ENST00000534137,729,929,+
13643,13643,ENST00000460129,2415,2615,+
452,452,ENST00000585513,228,428,+
36293,36293,ENST00000428771,127,327,+
33102,33102,ENST00000502897,153,353,+
32416,32416,ENST00000497685,34,234,+
11206,11206,ENST00000367630,721,921,+
11269,11269,ENST00000644621,1184,1384,+
41775,41775,ENST00000507285,836,1036,+
29919,29919,ENST00000533482,67,267,+
29748,29748,ENST00000591437,1844,2044,+
11690,11690,ENST00000533070,106,306,+
28356,28356,ENST00000520698,162,362,+
12428,12428,ENST00000216101,153,353,+
40272,40272,ENST00000432169,369,569,+
12154,12154,ENST00000360079,1252,1452,+
17248,17248,ENST00000559707,11,211,+
15010,15010,ENST00000538391,48,248,+
1878,1878,ENST00000647743,173,373,+
33962,33962,ENST00000328089,44,244,+
22497,22497,ENST00000353617,272,472,+
46347,46347,ENST00000393869,517,717,+
23890,23890,ENST00000395878,651,851,+
29745,29745,ENST00000537147,702,902,+
8476,8476,ENST00000406374,195,395,+
44992,44992,ENST00000381982,694,894,+
47798,47798,ENST00000274938,1253,1453,+
31053,31053,ENST00000648680,2754,2954,+
42391,42391,ENST00000535419,16,216,+
6465,6465,ENST00000359793,532,732,+
18527,18527,ENST00000546034,1136,1336,+
41812,41812,ENST00000419147,525,725,+
20779,20779,ENST00000534124,111,311,+
17697,17697,ENST00000535233,1234,1434,+
2532,2532,ENST00000337872,349,549,+
43165,43165,ENST00000486220,18,218,+
22147,22147,ENST00000508208,451,651,+
35189,35189,ENST00000429973,3947,4147,+
20347,20347,ENST00000489498,139,339,+
13254,13254,ENST00000628037,54,254,+
17162,17162,ENST00000538587,881,1081,+
48079,48079,ENST00000239944,0,200,+
23876,23876,ENST00000394829,227,427,+
33803,33803,ENST00000643890,953,1153,+
40092,40092,ENST00000443351,166,366,+
12096,12096,ENST00000623286,129,329,+
16201,16201,ENST00000343459,786,986,+
39406,39406,ENST00000640521,776,976,+
9588,9588,ENST00000404039,1375,1575,+
37987,37987,ENST00000268613,1119,1319,+
43143,43143,ENST00000299157,740,940,+
44911,44911,ENST00000509305,430,630,+
23,23,ENST00000628515,923,1123,+
39212,39212,ENST00000357984,156,356,+
41018,41018,ENST00000448257,372,572,+
22083,22083,ENST00000465156,252,452,+
30271,30271,ENST00000434758,491,691,+
17247,17247,ENST00000360249,110,310,+
9132,9132,ENST00000376052,348,548,+
36928,36928,ENST00000383083,95,295,+
2807,2807,ENST00000383165,281,481,+
32837,32837,ENST00000336735,361,561,+
7328,7328,ENST00000370398,931,1131,+
13941,13941,ENST00000642462,1028,1228,+
49491,49491,ENST00000562411,65,265,+
26524,26524,ENST00000444602,65,265,+
17612,17612,ENST00000643607,841,1041,+
35054,35054,ENST00000528516,135,335,+
6875,6875,ENST00000525975,2577,2777,+
6134,6134,ENST00000486165,129,329,+
5944,5944,ENST00000339416,2074,2274,+
9527,9527,ENST00000361804,2288,2488,+
40132,40132,ENST00000638246,35,235,+
38074,38074,ENST00000447788,221,421,+
19966,19966,ENST00000366911,3,203,+
27189,27189,ENST00000473386,227,427,+
6216,6216,ENST00000308132,526,726,+
41358,41358,ENST00000330736,58,258,+
7654,7654,ENST00000534699,607,807,+
6442,6442,ENST00000483802,78,278,+
4508,4508,ENST00000593039,453,653,+
23344,23344,ENST00000620138,545,745,+
3600,3600,ENST00000613461,213,413,+
14976,14976,ENST00000484444,22,222,+
41805,41805,ENST00000511673,7,207,+
35921,35921,ENST00000373758,212,412,+
16822,16822,ENST00000557185,52,252,+
6176,6176,ENST00000343139,106,306,+
12986,12986,ENST00000426877,164,364,+
27471,27471,ENST00000357134,260,460,+
4738,4738,ENST00000614839,486,686,+
1512,1512,ENST00000377447,375,575,+
12843,12843,ENST00000522695,739,939,+
9810,9810,ENST00000397529,98,298,+
42421,42421,ENST00000402286,200,400,+
9761,9761,ENST00000622683,217,417,+
31434,31434,ENST00000570006,367,567,+
34916,34916,ENST00000409311,337,537,+
25983,25983,ENST00000215919,119,319,+
19295,19295,ENST00000336695,3,203,+
19670,19670,ENST00000377741,485,685,+
960,960,ENST00000530991,1245,1445,+
19217,19217,ENST00000449103,5045,5245,+
35543,35543,ENST00000638282,6,206,+
41604,41604,ENST00000346753,1492,1692,+
5140,5140,ENST00000335148,182,382,+
27108,27108,ENST00000486858,200,400,+
13301,13301,ENST00000283365,1042,1242,+
2306,2306,ENST00000368340,1019,1219,+
42385,42385,ENST00000406482,99,299,+
34257,34257,ENST00000338401,32,232,+
46038,46038,ENST00000358821,476,676,+
16840,16840,ENST00000614374,109,309,+
1839,1839,ENST00000529024,17,217,+
8500,8500,ENST00000525219,384,584,+
36606,36606,ENST00000262887,1204,1404,+
26980,26980,ENST00000637900,699,899,+
20928,20928,ENST00000534488,9,209,+
1563,1563,ENST00000645775,389,589,+
28005,28005,ENST00000636513,124,324,+
32759,32759,ENST00000647124,601,801,+
13581,13581,ENST00000599690,3,203,+
24382,24382,ENST00000342935,302,502,+
21713,21713,ENST00000614067,439,639,+
32824,32824,ENST00000448516,952,1152,+
35171,35171,ENST00000472818,79,279,+
46913,46913,ENST00000333611,111,311,+
7325,7325,ENST00000512387,321,521,+
35606,35606,ENST00000504326,804,1004,+
46909,46909,ENST00000646107,18,218,+
43586,43586,ENST00000231136,1993,2193,+
30072,30072,ENST00000328434,52,252,+
19789,19789,ENST00000260126,766,966,+
25292,25292,ENST00000383008,160,360,+
16140,16140,ENST00000296877,20,220,+
40252,40252,ENST00000533341,203,403,+
34494,34494,ENST00000341500,1261,1461,+
2138,2138,ENST00000584501,168,368,+
17641,17641,ENST00000447353,478,678,+
14704,14704,ENST00000424805,922,1122,+
