id,region,start,end,strand
0,chr4,29615954,29620549,+
1,chr5,24713165,24714741,+
2,chr12,68613517,68616546,+
3,chr12,96052224,96055734,+
4,chr13,37768035,37771587,+
5,chr7,26337473,26338959,+
6,chr15,9262847,9266361,+
7,chr19,14838336,14841353,+
8,chrY,948521,952325,+
9,chr2,120070833,120074424,+
10,chr12,5880944,5883177,+
11,chr6,136405915,136408428,+
12,chr13,111818638,111820743,+
13,chr18,85464456,85466944,+
14,chr7,45762890,45765028,+
15,chr17,78124416,78126924,+
16,chr10,95570328,95573041,+
17,chr11,99864213,99866649,+
18,chr10,101031855,101032765,+
19,chr17,46774158,46776683,+
20,chr13,82036448,82037928,+
21,chr10,6239541,6242361,+
22,chr17,72150646,72153989,+
23,chrX,21137200,21140184,+
24,chr11,30104778,30105544,+
25,chrX,112262695,112264683,+
26,chr10,95123155,95126874,+
27,chr6,75812973,75813814,+
28,chr16,60915445,60917961,+
29,chr5,74047028,74051168,+
30,chr1,144972166,144974818,+
31,chr10,79199609,79201386,+
32,chr2,144004181,144005197,+
33,chr15,36181158,36183670,+
34,chr12,90183484,90186451,+
35,chr11,76926091,76928290,+
36,chr2,109701260,109703469,+
37,chr1,45182130,45183660,+
38,chr1,168490699,168492609,+
39,chr8,83275609,83278458,+
40,chr2,35981895,35985403,+
41,chr3,148329686,148333213,+
42,chr15,71207299,71209048,+
43,chrY,22806948,22807857,+
44,chr9,61059804,61063612,+
45,chr15,20233903,20237128,+
46,chr7,46337524,46341163,+
47,chr5,105713400,105714437,+
48,chr15,94905010,94908187,+
49,chr4,132552949,132555459,+
50,chr9,59283271,59284800,+
51,chr5,64347086,64348996,+
52,chr12,116873184,116875390,+
53,chr18,10653934,10654987,+
54,chr5,79101681,79105326,+
55,chr5,45622347,45624320,+
56,chr11,94149562,94150344,+
57,chrX,45769211,45772052,+
58,chr4,60625692,60628700,+
59,chr1,72429630,72432936,+
60,chr6,52672222,52673716,+
61,chr10,5671456,5673263,+
62,chr6,77190239,77191115,+
63,chr14,47736769,47739208,+
64,chr10,58691351,58693822,+
65,chr11,78379351,78382196,+
66,chrX,154309900,154310892,+
67,chr1,35340783,35342795,+
68,chr19,39219878,39221518,+
69,chr6,33771697,33775401,+
70,chr7,64350439,64352751,+
71,chr15,78016702,78018745,+
72,chr4,89982974,89984236,+
73,chr6,23167216,23168344,+
74,chr8,20417149,20418942,+
75,chr11,81375216,81376892,+
76,chr2,54732498,54734298,+
77,chr17,62849599,62852178,+
78,chr1,31521360,31522263,+
79,chr8,15926632,15929955,+
80,chr11,87203704,87206447,+
81,chr16,40814386,40816118,+
82,chr11,13919143,13919599,+
83,chr3,61237316,61240898,+
84,chr12,74498257,74502439,+
85,chrX,65712411,65716076,+
86,chr8,95161610,95163488,+
87,chr1,87947152,87948685,+
88,chr7,81302872,81305013,+
89,chr1,125539103,125541938,+
90,chr14,72852717,72855229,+
91,chr18,74644179,74646198,+
92,chr14,118206089,118209566,+
93,chr7,116921644,116924678,+
94,chr8,115051538,115054306,+
95,chr2,42865716,42868953,+
96,chr10,63184313,63185656,+
97,chr12,35100926,35102451,+
98,chr6,97020017,97023014,+
99,chr4,92038591,92040741,+
100,chr7,102221942,102222955,+
101,chr16,43335247,43338924,+
102,chr19,43976233,43978917,+
103,chr5,149102460,149105278,+
104,chr8,100125572,100127054,+
105,chr3,83610124,83610947,+
106,chr11,56993602,56996110,+
107,chrX,157615061,157616977,+
108,chr18,15335961,15339195,+
109,chr4,60540110,60541650,+
110,chr17,85188107,85189686,+
111,chr14,105789039,105790067,+
112,chr4,89996804,90000610,+
113,chr11,30425461,30428965,+
114,chr15,10733103,10736382,+
115,chr16,22675564,22679457,+
116,chr15,88387293,88388689,+
117,chr6,18933706,18935639,+
118,chr3,110416485,110417670,+
119,chrY,80478895,80481000,+
120,chr1,103082568,103083471,+
121,chr6,67208262,67209122,+
122,chr13,77489087,77490204,+
123,chrX,154956190,154959713,+
124,chr10,116729631,116732717,+
125,chr12,46552493,46553826,+
126,chr9,94690991,94694502,+
127,chrX,128057393,128058501,+
128,chr4,14000599,14003453,+
129,chr15,22886784,22888704,+
130,chr16,94274874,94276778,+
131,chr8,84798691,84801129,+
132,chr19,48754993,48758030,+
133,chr4,97238403,97240778,+
134,chr12,62250927,62253296,+
135,chr8,92732880,92735996,+
136,chr15,38098973,38100302,+
137,chr7,100812698,100815069,+
138,chrX,32566458,32567734,+
139,chr12,91950544,91953199,+
140,chr11,118515083,118516591,+
141,chr18,35732226,35733414,+
142,chr2,98778231,98780144,+
143,chr2,132977253,132980275,+
144,chr1,82938529,82942872,+
145,chr4,44244017,44245535,+
146,chr13,100743047,100743967,+
147,chr3,4250346,4252727,+
148,chr8,52406438,52410229,+
149,chr4,102918006,102920275,+
150,chr11,60268574,60270027,+
151,chr2,45524322,45527979,+
152,chr3,38129376,38130933,+
153,chr11,4540899,4545077,+
154,chr3,129133453,129136132,+
155,chr9,49451608,49452765,+
156,chr18,68436219,68437697,+
157,chr16,27488543,27491272,+
158,chr5,72956772,72959838,+
159,chr8,20642875,20646907,+
160,chr5,142450115,142451443,+
161,chr6,33323698,33327740,+
162,chr7,97140729,97144240,+
163,chrX,61063911,61065194,+
164,chr10,84519499,84522003,+
165,chr15,46625976,46628713,+
166,chrX,6739829,6741076,+
167,chr15,95387201,95390250,+
168,chr1,59057244,59059163,+
169,chr18,81527307,81528695,+
170,chr13,102473876,102475170,+
171,chr1,143028247,143031091,+
172,chr6,106123487,106127310,+
173,chrX,132482931,132485832,+
174,chr8,80574953,80578464,+
175,chr9,118017227,118021776,+
176,chr17,62543081,62545753,+
177,chr10,40020654,40025081,+
178,chrX,69817919,69819226,+
179,chr19,16327137,16330648,+
180,chr14,87256438,87259136,+
181,chr12,19098351,19100340,+
182,chr2,158986264,158990914,+
183,chr3,35257006,35258979,+
184,chr4,16454289,16455893,+
185,chr18,88759150,88763684,+
186,chr4,28770674,28774890,+
187,chr15,103375947,103377877,+
188,chr4,109601849,109605023,+
189,chr8,86239052,86240977,+
190,chr7,48004498,48007911,+
191,chr13,114718574,114722178,+
192,chr8,35892972,35896018,+
193,chr17,31880701,31882081,+
194,chr12,27714000,27714700,+
195,chr10,41493108,41495611,+
196,chr18,55628358,55631441,+
197,chr14,24337812,24339752,+
198,chr11,85161398,85164029,+
199,chr8,122285500,122287074,+
200,chr4,81978525,81980280,+
201,chr2,167110373,167112367,+
202,chr4,109299979,109301505,+
203,chr11,55822437,55824527,+
204,chr9,75326621,75328827,+
205,chrX,125986911,125989685,+
206,chr12,88466923,88467254,+
207,chr7,89031134,89034644,+
208,chr11,44418233,44421263,+
209,chrX,75027101,75028878,+
210,chr2,172444258,172445855,+
211,chr6,66092778,66093696,+
212,chr8,11232019,11235254,+
213,chr3,111527234,111530295,+
214,chr3,124243896,124245766,+
215,chr14,55345958,55347677,+
216,chrX,21885075,21886080,+
217,chr11,87418727,87422379,+
218,chr18,90058768,90061286,+
219,chr13,59771252,59772850,+
220,chr12,75894357,75897887,+
221,chr10,26479936,26480555,+
222,chr18,56155836,56156461,+
223,chrY,16092131,16094169,+
224,chr9,61927081,61931460,+
225,chr8,49360804,49362270,+
226,chr8,79299809,79301302,+
227,chr7,139766920,139768396,+
228,chr10,73469205,73472500,+
229,chr9,117600639,117603858,+
230,chr19,9020120,9020977,+
231,chrX,80511109,80513620,+
232,chr13,107162723,107163312,+
233,chr8,22803426,22804567,+
234,chrX,62890235,62894131,+
235,chr2,21885747,21889340,+
236,chr15,92869753,92871878,+
237,chr2,90168436,90172935,+
238,chrX,115052976,115054973,+
239,chr5,109177837,109181356,+
240,chr14,96471629,96475672,+
241,chr8,98669317,98670294,+
242,chr12,34212705,34214706,+
243,chr15,60823312,60824745,+
244,chr16,39935096,39937767,+
245,chr8,5774370,5776573,+
246,chr14,66365012,66369555,+
247,chr12,10168049,10168685,+
248,chr9,17272458,17274831,+
249,chrX,105651478,105655016,+
250,chr9,62964835,62966085,+
251,chr7,5867505,5868510,+
252,chrX,22390292,22391141,+
253,chr1,11003981,11005982,+
254,chr1,97137577,97141969,+
255,chr6,34384343,34388383,+
256,chr6,134041356,134045103,+
257,chr16,14889117,14891374,+
258,chr14,41145795,41146946,+
259,chr13,49892690,49895047,+
260,chr6,98532627,98533828,+
261,chr10,81085904,81087481,+
262,chr10,44673247,44675321,+
263,chr4,19693355,19695562,+
264,chr3,59652854,59655063,+
265,chr8,8589596,8590547,+
266,chr12,22812092,22813970,+
267,chr19,13555178,13558164,+
268,chr1,125031694,125032702,+
269,chr12,17275321,17277433,+
270,chr15,8041432,8044163,+
271,chr10,111581568,111583706,+
272,chr7,6962171,6965525,+
273,chr10,10738354,10738986,+
274,chr1,173312356,173314060,+
275,chrY,74828088,74829684,+
276,chr16,75469399,75472283,+
277,chr3,130515676,130518485,+
278,chr12,72392243,72393074,+
279,chr19,41306107,41307754,+
280,chr14,102988565,102991264,+
281,chr15,19152553,19155966,+
282,chr16,51666752,51668995,+
283,chr16,40066598,40070341,+
284,chr1,91282034,91283722,+
285,chr9,82472227,82474447,+
286,chr13,17744800,17747498,+
287,chr1,189212908,189214685,+
288,chrX,113092880,113093429,+
289,chr3,56374107,56377819,+
290,chr11,44404791,44407399,+
291,chr17,87342461,87343702,+
292,chr12,100905837,100909587,+
293,chr15,9953225,9953924,+
294,chr4,149752655,149755494,+
295,chr6,34897633,34899190,+
296,chr1,115496743,115497921,+
