id,region,start,end,strand
27434,chr2,56478034,56478234,+
13400,chr21,20427531,20427731,+
883,chr17,73975959,73976159,+
7303,chr13,45730273,45730473,+
45124,chr10,38820750,38820950,+
874,chr8,108126287,108126487,+
45943,chr3,84160148,84160348,+
11458,chr11,33919221,33919421,+
23877,chr13,49941183,49941383,+
11,chr11,107134809,107135009,+
27813,chr7,132747627,132747827,+
10713,chr4,35647013,35647213,+
46014,chr12,54601814,54602014,+
3645,chr7,63277629,63277829,+
10448,chr13,39833814,39834014,+
41968,chr14,65148164,65148364,+
3813,chr2,44060914,44061114,+
4523,chr19,55554589,55554789,+
7231,chr2,124962080,124962280,+
39423,chrY,6717467,6717667,+
46647,chr4,156215795,156215995,+
12547,chr8,54410783,54410983,+
10917,chr5,101250420,101250620,+
16904,chr4,45054582,45054782,+
39863,chr19,33822281,33822481,+
24728,chr5,62845595,62845795,+
12695,chr5,69706811,69707011,+
36114,chr4,75138035,75138235,+
29694,chrX,3752349,3752549,+
7528,chr3,132888922,132889122,+
28808,chr1,223777416,223777616,+
4756,chr5,166111143,166111343,+
30432,chrX,34875932,34876132,+
1108,chr3,35872947,35873147,+
11090,chr13,48951739,48951939,+
42876,chr9,90590270,90590470,+
28136,chr7,100930315,100930515,+
19860,chr4,102224921,102225121,+
8054,chr6,86686464,86686664,+
5886,chr2,57091141,57091341,+
44551,chr3,74877399,74877599,+
3542,chr6,78134691,78134891,+
8359,chr20,5207331,5207531,+
15074,chr11,97081077,97081277,+
40589,chr10,27191970,27192170,+
19528,chr2,219818433,219818633,+
2333,chr3,11098259,11098459,+
37768,chr5,122525653,122525853,+
37791,chr8,69165739,69165939,+
22894,chr7,84503680,84503880,+
11790,chr7,109881103,109881303,+
43628,chr2,95427631,95427831,+
47118,chr5,32813033,32813233,+
17703,chr17,27371022,27371222,+
14474,chr4,69460606,69460806,+
22427,chr5,53234899,53235099,+
28883,chr4,151051799,151051999,+
5785,chr17,43617461,43617661,+
27395,chr13,87007622,87007822,+
5883,chr2,720905,721105,+
37911,chr12,12314679,12314879,+
7002,chr1,13470437,13470637,+
8801,chrX,55098704,55098904,+
39803,chr18,74422760,74422960,+
46757,chr5,120708244,120708444,+
34684,chr8,107110386,107110586,+
17117,chr4,178089248,178089448,+
31532,chrX,58320126,58320326,+
268,chr2,129282447,129282647,+
3142,chr12,60077126,60077326,+
4800,chr17,64691095,64691295,+
35868,chr2,10563467,10563667,+
7422,chr18,15677476,15677676,+
21413,chr18,71949630,71949830,+
4396,chr3,162546916,162547116,+
2156,chr14,63747834,63748034,+
28372,chr1,116841592,116841792,+
32050,chr8,65325461,65325661,+
1441,chr5,173970619,173970819,+
25015,chr6,115868773,115868973,+
25072,chr3,180394834,180395034,+
27121,chrX,130415682,130415882,+
49882,chr17,22854882,22855082,+
19546,chrX,154591763,154591963,+
35893,chr1,191806327,191806527,+
13905,chr8,83904400,83904600,+
32947,chr4,73480967,73481167,+
15558,chr13,55278447,55278647,+
6527,chr13,62902933,62903133,+
49722,chr20,37637265,37637465,+
17487,chr18,29772516,29772716,+
37634,chr20,40336672,40336872,+
16966,chr4,30647229,30647429,+
12858,chr9,44798980,44799180,+
48444,chr17,61431358,61431558,+
11146,chr2,149509259,149509459,+
24050,chr18,30417810,30418010,+
1496,chr8,114062525,114062725,+
733,chr5,100702223,100702423,+
44488,chr7,73370113,73370313,+
11903,chr4,114485767,114485967,+
11129,chr16,23721272,23721472,+
16794,chrX,114278092,114278292,+
33663,chr16,31467621,31467821,+
21063,chr21,33199959,33200159,+
2330,chr5,31563390,31563590,+
6328,chr4,120603255,120603455,+
48537,chr12,127078940,127079140,+
36840,chr6,18977320,18977520,+
2072,chr7,145984354,145984554,+
35883,chr3,101633873,101634073,+
19959,chr6,59393814,59394014,+
38707,chrX,97951979,97952179,+
23633,chr9,107333715,107333915,+
3219,chr1,78766934,78767134,+
28910,chr11,103017671,103017871,+
23847,chrX,89208852,89209052,+
45261,chr14,46678568,46678768,+
24888,chr11,23413054,23413254,+
4040,chr19,25828912,25829112,+
27396,chr1,96526562,96526762,+
26244,chr7,58848276,58848476,+
10410,chrX,125423049,125423249,+
41277,chr8,46289680,46289880,+
26419,chr15,87257322,87257522,+
444,chr17,22876850,22877050,+
32613,chr2,55748079,55748279,+
11250,chr10,9570921,9571121,+
39232,chr20,16928890,16929090,+
40248,chr11,123271993,123272193,+
39372,chr17,71489487,71489687,+
13573,chr11,23087733,23087933,+
26815,chr10,119547324,119547524,+
48420,chr6,108733848,108734048,+
25217,chr2,231192167,231192367,+
1336,chr3,93306925,93307125,+
6564,chr6,25891665,25891865,+
4957,chr3,191665423,191665623,+
48693,chr4,129123852,129124052,+
3973,chr8,12409926,12410126,+
16109,chr16,82191050,82191250,+
22323,chr5,164114714,164114914,+
5964,chrX,95433928,95434128,+
31092,chr1,75031623,75031823,+
34344,chr10,31803433,31803633,+
18925,chr17,24892869,24893069,+
28612,chr11,128245372,128245572,+
21222,chr10,133259822,133260022,+
6991,chr11,39204367,39204567,+
29938,chr12,19393305,19393505,+
43704,chr14,21136044,21136244,+
1474,chr11,98488483,98488683,+
48990,chr17,34685593,34685793,+
24645,chrX,117035261,117035461,+
8857,chr16,22784480,22784680,+
10877,chr8,124747766,124747966,+
1553,chrX,122915030,122915230,+
37578,chr4,8622759,8622959,+
12689,chr21,12896524,12896724,+
25617,chr15,68261800,68262000,+
41109,chr18,66149675,66149875,+
31132,chr21,41414478,41414678,+
48803,chr11,59303010,59303210,+
6043,chr10,71198291,71198491,+
43547,chr3,132951437,132951637,+
28912,chr10,107530094,107530294,+
44032,chr13,82007795,82007995,+
52,chr1,161967317,161967517,+
37954,chr4,24201551,24201751,+
274,chr17,79011361,79011561,+
12231,chr5,144792793,144792993,+
13721,chr11,91728910,91729110,+
47340,chr7,153078560,153078760,+
8490,chr12,53085987,53086187,+
43142,chr17,22389952,22390152,+
25219,chr18,48016077,48016277,+
38951,chr14,106711322,106711522,+
21567,chr3,36054218,36054418,+
2119,chr7,51470796,51470996,+
47553,chr6,32446375,32446575,+
23725,chr6,52958985,52959185,+
25603,chr14,96167527,96167727,+
36283,chr1,61640795,61640995,+
21197,chr8,30343335,30343535,+
30433,chr11,98212894,98213094,+
34155,chr9,80057808,80058008,+
10454,chr2,142301335,142301535,+
15621,chr9,98928685,98928885,+
34509,chr6,131080297,131080497,+
17987,chr1,210307622,210307822,+
24597,chr4,126854984,126855184,+
5030,chr18,64833811,64834011,+
34548,chr2,6056363,6056563,+
14159,chr2,35994258,35994458,+
6363,chr2,162945028,162945228,+
40768,chr14,16548789,16548989,+
20643,chrX,88392714,88392914,+
15423,chr10,108341834,108342034,+
49039,chr19,11982646,11982846,+
21189,chr4,9550000,9550200,+
15080,chr6,40724612,40724812,+
15811,chr4,101017085,101017285,+
30748,chr1,216447186,216447386,+
36991,chr10,2919561,2919761,+
41059,chr17,52190654,52190854,+
39689,chr1,91115249,91115449,+
30315,chr9,31209223,31209423,+
31041,chr6,154587017,154587217,+
27317,chr6,140542595,140542795,+
13643,chr3,198048711,198048911,+
452,chr6,123121114,123121314,+
36293,chr2,126390208,126390408,+
33102,chr11,97644808,97645008,+
32416,chr9,103756567,103756767,+
11206,chr11,51576379,51576579,+
11269,chr20,4752179,4752379,+
41775,chr4,35914522,35914722,+
29919,chr8,25164996,25165196,+
29748,chr6,127265984,127266184,+
11690,chr2,193687401,193687601,+
28356,chr2,29190060,29190260,+
12428,chr2,16782400,16782600,+
40272,chr7,68431117,68431317,+
12154,chr12,33559423,33559623,+
17248,chr9,103774557,103774757,+
15010,chr9,122348623,122348823,+
1878,chr8,29985529,29985729,+
33962,chr15,23481104,23481304,+
22497,chr13,73283675,73283875,+
46347,chr3,177923472,177923672,+
23890,chr6,43799345,43799545,+
29745,chr2,56515590,56515790,+
8476,chr3,90100124,90100324,+
44992,chr21,21831670,21831870,+
47798,chr13,41557037,41557237,+
31053,chr13,61471724,61471924,+
42391,chr5,47979882,47980082,+
6465,chr4,55764013,55764213,+
18527,chr13,106223694,106223894,+
41812,chr3,5118265,5118465,+
20779,chr3,96395298,96395498,+
17697,chr1,40038919,40039119,+
2532,chrX,19315309,19315509,+
43165,chr21,20347296,20347496,+
22147,chr3,93782903,93783103,+
35189,chr2,227568579,227568779,+
20347,chr20,38201141,38201341,+
13254,chrX,91531143,91531343,+
17162,chr12,61079209,61079409,+
48079,chr12,94488798,94488998,+
23876,chr1,161287792,161287992,+
33803,chr5,160969221,160969421,+
40092,chr21,30805375,30805575,+
12096,chr20,55235977,55236177,+
16201,chr11,58443816,58444016,+
39406,chr6,23790243,23790443,+
9588,chr5,121102972,121103172,+
37987,chr5,29629242,29629442,+
43143,chr7,83709201,83709401,+
44911,chr10,111157009,111157209,+
23,chrX,127924156,127924356,+
39212,chr5,44286659,44286859,+
41018,chr12,131409748,131409948,+
22083,chr4,64562221,64562421,+
30271,chr14,31897384,31897584,+
17247,chr3,152867803,152868003,+
9132,chr14,84849779,84849979,+
36928,chr5,69829114,69829314,+
2807,chr12,97897413,97897613,+
32837,chr2,240337810,240338010,+
7328,chr9,43903192,43903392,+
13941,chr12,73698260,73698460,+
49491,chr6,95517059,95517259,+
26524,chr5,51319538,51319738,+
17612,chr14,25118267,25118467,+
35054,chr14,97798579,97798779,+
6875,chr9,5356911,5357111,+
6134,chr12,91747440,91747640,+
5944,chr11,133664568,133664768,+
9527,chr8,53613988,53614188,+
40132,chr1,6408236,6408436,+
38074,chr8,5126881,5127081,+
19966,chr14,96027300,96027500,+
27189,chr12,87541566,87541766,+
6216,chr12,125167345,125167545,+
41358,chrX,62584166,62584366,+
7654,chr2,131898652,131898852,+
6442,chr4,155030244,155030444,+
4508,chr20,23152380,23152580,+
23344,chr13,90139782,90139982,+
3600,chr22,38947675,38947875,+
14976,chr19,6371402,6371602,+
41805,chr6,153170583,153170783,+
35921,chr6,112682803,112683003,+
16822,chr1,233451885,233452085,+
6176,chr11,67581150,67581350,+
12986,chrX,28266469,28266669,+
27471,chrX,134211480,134211680,+
4738,chr6,55085687,55085887,+
1512,chr12,60615616,60615816,+
12843,chr1,1078877,1079077,+
9810,chr4,50382686,50382886,+
42421,chr3,182230768,182230968,+
9761,chr8,81588181,81588381,+
31434,chr6,142651232,142651432,+
34916,chr4,163451142,163451342,+
25983,chr14,91255679,91255879,+
19295,chr10,126864894,126865094,+
19670,chrX,34579674,34579874,+
960,chr7,81134748,81134948,+
19217,chr10,25643581,25643781,+
