id,region,start,end,strand
0,chr6,39541754,39546349,+
1,chr6,94647418,94648994,+
2,chr8,78740513,78743542,+
3,chr4,5796826,5800336,+
4,chr5,37825668,37829220,+
5,chr4,148859470,148860956,+
6,chr2,59597935,59601449,+
7,chr3,35403693,35406710,+
8,chr8,84728901,84732705,+
9,chr18,65514202,65517793,+
10,chr2,30646230,30648463,+
11,chr15,30511449,30513962,+
12,chr8,27106326,27108431,+
13,chr5,114298722,114301210,+
14,chr19,47908458,47910596,+
15,chr2,166440619,166443127,+
16,chr18,60669094,60671807,+
17,chr12,105972685,105975121,+
18,chr8,77671732,77672642,+
19,chr4,11761241,11763766,+
20,chr11,52877023,52878503,+
21,chr7,145204876,145207696,+
22,chr10,52741811,52745154,+
23,chr9,41734977,41737961,+
24,chr11,11961855,11962621,+
25,chr6,65309701,65311689,+
26,chr6,122392604,122396323,+
27,chr3,28491068,28491909,+
28,chr8,56831310,56833826,+
29,chr11,113182044,113186184,+
30,chr12,99338619,99341271,+
31,chr8,120370899,120372676,+
32,chr2,4348337,4349353,+
33,chr2,65662393,65664905,+
34,chr11,96885198,96888165,+
35,chr11,96872255,96874454,+
36,chr5,149352158,149354367,+
37,chr6,4553536,4555066,+
38,chr7,117685706,117687616,+
39,chr5,125392750,125395599,+
40,chr4,32301902,32305410,+
41,chr2,117427079,117430606,+
42,chr2,67627291,67629040,+
43,chr7,143112059,143112968,+
44,chr8,90738603,90742411,+
45,chr7,82713867,82717092,+
46,chr18,55624015,55627654,+
47,chr19,47301205,47302242,+
48,chr15,84217536,84220713,+
49,chr7,124038353,124040863,+
50,chr10,31034050,31035579,+
51,chr15,63065701,63067611,+
52,chr2,172861961,172864167,+
53,chr12,84175690,84176743,+
54,chr2,128712174,128715819,+
55,chr8,91966330,91968303,+
56,chr2,4361907,4362689,+
57,chr8,124642911,124645752,+
58,chr2,93277887,93280895,+
59,chr14,60552725,60556031,+
60,chr14,49121139,49122633,+
61,chr8,95426507,95428314,+
62,chr12,111142737,111143613,+
63,chr6,98112393,98114832,+
64,chr6,50821118,50823589,+
65,chr13,37310965,37313810,+
66,chr5,111577304,111578296,+
67,chr11,107762172,107764184,+
68,chr10,120551957,120553597,+
69,chr17,29462412,29466116,+
70,chr12,53874310,53876622,+
71,chr2,173034797,173036840,+
72,chr18,9215672,9216934,+
73,chr17,83913104,83914232,+
74,chr1,132332669,132334462,+
75,chr17,44722113,44723789,+
76,chr2,4339657,4341457,+
77,chr12,79795793,79798372,+
78,chr14,63062163,63063066,+
79,chr14,76253889,76257212,+
80,chr1,9648222,9650965,+
81,chr2,4556143,4557875,+
82,chr10,94565715,94566171,+
83,chr14,25107154,25110736,+
84,chr13,84781784,84785966,+
85,chr3,104596934,104600599,+
86,chr9,23010877,23012755,+
87,chr15,56720138,56721671,+
88,chr11,17449237,17451378,+
89,chr2,12065184,12068019,+
90,chr2,137852329,137854841,+
91,chr12,83072394,83074413,+
92,chr13,3741068,3744545,+
93,chr19,21164416,21167450,+
94,chr8,89992682,89995450,+
95,chr9,63958314,63961551,+
96,chr10,30997656,30998999,+
97,chr14,21358858,21360383,+
98,chr9,24887071,24890068,+
99,chr15,64233513,64235663,+
100,chr11,18712144,18713157,+
101,chr15,85505929,85509606,+
102,chr4,135253466,135256150,+
103,chr8,89270664,89273482,+
104,chr16,92340533,92342015,+
105,chr12,12179095,12179918,+
106,chr2,57341948,57344456,+
107,chr8,25440187,25442103,+
108,chr9,121311713,121314947,+
109,chr3,9346754,9348294,+
110,chr9,23083131,23084710,+
111,chr5,92997266,92998294,+
112,chr2,166019656,166023462,+
113,chr9,41889009,41892513,+
114,chr1,63993293,63996572,+
115,chr2,157473504,157477397,+
116,chr19,60015441,60016837,+
117,chr17,35719852,35721785,+
118,chr1,59340861,59342046,+
119,chr1,78059402,78061507,+
120,chr11,111563099,111564002,+
121,chr7,19319406,19320266,+
122,chr16,15084591,15085708,+
123,chr11,94158654,94162177,+
124,chr3,5386840,5389926,+
125,chr5,111675072,111676405,+
126,chr1,162830456,162833967,+
127,chr14,46610669,46611777,+
128,chr5,21731578,21734432,+
129,chr8,56983039,56984959,+
130,chr2,60785659,60787563,+
131,chr12,79943797,79946235,+
132,chr8,126825532,126828569,+
133,chr2,75422201,75424576,+
134,chr16,96845599,96847968,+
135,chr7,130667902,130671018,+
136,chr11,113013632,113014961,+
137,chr14,73233955,73236326,+
138,chr19,3638246,3639522,+
139,chr16,30872661,30875316,+
140,chr5,24494492,24496000,+
141,chr13,118515837,118517025,+
142,chr6,52442616,52444529,+
143,chr3,89290189,89293211,+
144,chr6,94753097,94757440,+
145,chr16,92340499,92342017,+
146,chr11,16558868,16559788,+
147,chr1,61202201,61204582,+
148,chr12,109946503,109950294,+
149,chr11,117865409,117867678,+
150,chr14,23520145,23521598,+
151,chr5,20079131,20082788,+
152,chr8,125083363,125084920,+
153,chr8,104608436,104612614,+
154,chr16,92427452,92430131,+
155,chr5,120135777,120136934,+
156,chr5,111601261,111602739,+
157,chr6,71989332,71992061,+
158,chr10,60813777,60816843,+
159,chr2,174856548,174860580,+
160,chr1,189187273,189188601,+
161,chr8,13622328,13626370,+
162,chr4,54611225,54614736,+
163,chr6,50956955,50958238,+
164,chr7,51770961,51773465,+
165,chr14,22113214,22115951,+
166,chr7,80788937,80790184,+
167,chr9,41071638,41074687,+
168,chr2,4252018,4253937,+
169,chr5,37901105,37902493,+
170,chr5,38085376,38086670,+
171,chr13,84058230,84061074,+
172,chr13,68571527,68575350,+
173,chr15,73020418,73023319,+
174,chr4,108361017,108364528,+
175,chr16,23502807,23507356,+
176,chr13,111952899,111955571,+
177,chr11,113783366,113787793,+
178,chr7,125764046,125765353,+
179,chr7,83811917,83815428,+
180,chr7,135137920,135140618,+
181,chr17,73022162,73024151,+
182,chr5,93131076,93135726,+
183,chr11,77422468,77424441,+
184,chr15,99419953,99421557,+
185,chr11,96883317,96887851,+
186,chr9,106354103,106358319,+
187,chr14,34194120,34196050,+
188,chr7,123096693,123099867,+
189,chr17,44617719,44619644,+
190,chr2,170836028,170839441,+
191,chr14,19984461,19988065,+
192,chr12,109507923,109510969,+
193,chr6,51857234,51858614,+
194,chr11,68623474,68624174,+
195,chr4,65237234,65239737,+
196,chr3,5348378,5351461,+
197,chr9,37053338,37055278,+
198,chr9,40729776,40732407,+
199,chr5,37967622,37969196,+
200,chr8,103077236,103078991,+
201,chr11,26772019,26774013,+
202,chr8,25439931,25441457,+
203,chr5,78283385,78285475,+
204,chr17,48436329,48438535,+
205,chr2,168693118,168695892,+
206,chr14,54996893,54997224,+
207,chr2,33875329,33878839,+
208,chr13,46571319,46574349,+
209,chr11,98496958,98498735,+
210,chr2,45225127,45226724,+
211,chr11,111568521,111569439,+
212,chr7,139466375,139469610,+
213,chr6,52365163,52368224,+
214,chr4,107024535,107026405,+
215,chr11,77906009,77907728,+
216,chr6,121087141,121088146,+
217,chr17,26849145,26852797,+
218,chr4,148984733,148987251,+
219,chr7,112297824,112299422,+
220,chr1,162074030,162077560,+
221,chr13,83571866,83572485,+
222,chr5,92627752,92628377,+
223,chr11,114335574,114337612,+
224,chr14,66492740,66497119,+
225,chr14,105979371,105980837,+
226,chr1,184041269,184042762,+
227,chr17,7268492,7269968,+
228,chr14,25585161,25588456,+
229,chr3,137783218,137786437,+
230,chr1,193449328,193450185,+
231,chr8,116163757,116166268,+
232,chr2,59828772,59829361,+
233,chr19,58371921,58373062,+
234,chr4,139597440,139601336,+
235,chr2,71418478,71422071,+
236,chr15,77036639,77038764,+
237,chr3,101394800,101399299,+
238,chr11,88274078,88276075,+
239,chr13,60145680,60149199,+
240,chr14,99008598,99012641,+
241,chr3,97941910,97942887,+
242,chr6,145855045,145857046,+
243,chr7,80445067,80446500,+
244,chr3,37934421,37937092,+
245,chr2,166215188,166217391,+
246,chr2,130489313,130493856,+
247,chr2,152399090,152399726,+
248,chr8,26832485,26834858,+
249,chr5,12505538,12509076,+
250,chr4,154801900,154803150,+
251,chr3,51738851,51739856,+
252,chr9,47376511,47377360,+
253,chr3,127705247,127707248,+
254,chr5,112236128,112240520,+
255,chr4,132032112,132036152,+
256,chr11,57927589,57931336,+
257,chr2,166426403,166428660,+
258,chr19,59267127,59268278,+
259,chr19,59423213,59425570,+
260,chr6,117279208,117280409,+
261,chr16,15294469,15296046,+
262,chr18,56896917,56898991,+
263,chr4,57845560,57847767,+
264,chr14,63585328,63587537,+
265,chr13,42258100,42259051,+
266,chr19,53715568,53717446,+
267,chr5,77486939,77489925,+
268,chr10,31053080,31054088,+
269,chr3,126722860,126724972,+
270,chrX,99566577,99569308,+
271,chr3,104540533,104542671,+
272,chr17,12789716,12793070,+
273,chr5,38509267,38509899,+
274,chr16,15194412,15196116,+
275,chr3,20144418,20146014,+
276,chr11,94880927,94883811,+
277,chr8,125217042,125219851,+
278,chr3,145964098,145964929,+
279,chr8,25342688,25344335,+
280,chr18,61608401,61611100,+
281,chr10,120646042,120649455,+
282,chr18,80330118,80332361,+
283,chr15,13391893,13395636,+
284,chr6,143437338,143439026,+
285,chr13,51919912,51922132,+
286,chr18,38378940,38381638,+
287,chr3,122047470,122049247,+
288,chr9,103679108,103679657,+
289,chr4,132075515,132079227,+
290,chr1,192798092,192800700,+
291,chr19,58419230,58420471,+
292,chr17,66478395,66482145,+
293,chr9,70834535,70835234,+
294,chr2,84517964,84520803,+
295,chr7,130425764,130427321,+
296,chr2,4587584,4588762,+
297,chr11,120314872,120317426,+
298,chr3,99259778,99263564,+
299,chr4,106864587,106867291,+
300,chr12,102697626,102698772,+
301,chrX,22897288,22900007,+
302,chr18,75502362,75503667,+
303,chr13,15342706,15344222,+
304,chr17,30548539,30552550,+
305,chr2,163188662,163191536,+
306,chr9,86186308,86188376,+
307,chr12,85454399,85456289,+
308,chr15,61157636,61158731,+
309,chr1,56286329,56287543,+
310,chr12,5266437,5269568,+
311,chr4,82915372,82918271,+
312,chr8,121170102,121171139,+
313,chr17,47988295,47991797,+
314,chr8,108243822,108246831,+
315,chr18,33552064,33554381,+
316,chr5,36710970,36715366,+
317,chr5,122092217,122094768,+
318,chr16,90449315,90451082,+
319,chr15,95638743,95641449,+
320,chr17,12203950,12205747,+
321,chr5,20493773,20494889,+
322,chr6,127250136,127252417,+
323,chr6,50983966,50984810,+
324,chr2,114123387,114123882,+
325,chr4,45506079,45509417,+
326,chr6,72710178,72712952,+
327,chr16,44671281,44673116,+
328,chr1,92789101,92792922,+
329,chr12,79923761,79926852,+
330,chr15,75646708,75649708,+
331,chr12,86822929,86827112,+
332,chr16,91139144,91142270,+
333,chr17,10333562,10337174,+
334,chr5,112663044,112665135,+
335,chr4,128714413,128717015,+
336,chr2,173086646,173088867,+
337,chr9,72639093,72641466,+
338,chr6,89241344,89243919,+
339,chr1,97538496,97542741,+
340,chr18,32541943,32543241,+
341,chr13,34827565,34828899,+
342,chr4,57536399,57540225,+
343,chr10,45228612,45231786,+
344,chr14,21673439,21675700,+
345,chr17,69180623,69182497,+
346,chr2,103623985,103627532,+
347,chr8,31942004,31944993,+
348,chr7,110162808,110166321,+
349,chr5,132229151,132230360,+
350,chr8,93916781,93919741,+
351,chr4,155234678,155236167,+
352,chr10,14463663,14464562,+
353,chr8,120423907,120427305,+
354,chr18,33291249,33294218,+
355,chr11,86586195,86587829,+
356,chr13,12502077,12504879,+
357,chr17,45885691,45887732,+
358,chr2,169609088,169612595,+
359,chr18,68909328,68911841,+
360,chr15,79949936,79952465,+
361,chr8,91712436,91716525,+
362,chr19,53411034,53413469,+
363,chr6,143498601,143500656,+
364,chr5,29314880,29315667,+
365,chr11,65208854,65210457,+
366,chr15,66824300,66827162,+
367,chr5,37818651,37819645,+
368,chr15,74155466,74158454,+
369,chr8,87151206,87154296,+
370,chr5,24730553,24731843,+
371,chr15,83638827,83640718,+
372,chr7,142551565,142554813,+
373,chr9,95812716,95815609,+
374,chr15,35532216,35534804,+
375,chr6,90780494,90784241,+
376,chr6,89613038,89615855,+
377,chr1,74815063,74818307,+
378,chr12,79968629,79971892,+
379,chr1,41274475,41276046,+
380,chr4,32530395,32532759,+
381,chr18,35839234,35842928,+
382,chr8,56914550,56916754,+
383,chr15,63193936,63194788,+
384,chr14,105571299,105573847,+
385,chr12,91677576,91681083,+
386,chr2,132426453,132429102,+
387,chr11,62965777,62968280,+
388,chr1,155038828,155041732,+
389,chr12,69757408,69759262,+
390,chr8,77987314,77989135,+
391,chr18,34131297,34134370,+
392,chr10,43746137,43746678,+
393,chr11,112780250,112781039,+
394,chr1,75660752,75663254,+
395,chr15,62902693,62903900,+
396,chr5,111508633,111510493,+
397,chr5,21329153,21331111,+
398,chr17,28105716,28108643,+
399,chr8,120347325,120349077,+
400,chr4,66894391,66895290,+
401,chr17,62851926,62854939,+
402,chr9,61600843,61603666,+
403,chr5,74361268,74363561,+
404,chr17,90695379,90697670,+
405,chr5,64876783,64878781,+
406,chr4,154707414,154711162,+
407,chr11,96901712,96904671,+
408,chr10,80773810,80774999,+
409,chr11,112411864,112413667,+
410,chr10,21620700,21623524,+
411,chr16,32852083,32855869,+
412,chr19,32106650,32108318,+
413,chr5,77129879,77130993,+
414,chr13,97891621,97893965,+
415,chr14,55003764,55004913,+
416,chr10,96708319,96708857,+
417,chr5,113151951,113154228,+
418,chr13,105537274,105539272,+
419,chr17,84421719,84422938,+
420,chr3,51907570,51910645,+
421,chr14,24261691,24264509,+
422,chr2,26132282,26133723,+
423,chr13,28717645,28719441,+
424,chr1,59333922,59335433,+
425,chr16,21310388,21311695,+
426,chr9,55448924,55451061,+
427,chr11,26489087,26491733,+
428,chr3,87149551,87152003,+
429,chr2,156813200,156816143,+
430,chr8,111716204,111718382,+
431,chr4,119019150,119020076,+
432,chr5,37917741,37918594,+
433,chr2,28524358,28526946,+
434,chr5,102373254,102375763,+
435,chr13,34147927,34150988,+
436,chr16,92344466,92345647,+
437,chr1,166047477,166050879,+
438,chr12,12707411,12712118,+
439,chr4,140102869,140105694,+
440,chr1,91962927,91965960,+
441,chr7,129743440,129744988,+
442,chr11,103840622,103842229,+
443,chr15,91016521,91020048,+
444,chr4,89426410,89429104,+
445,chr14,63367788,63369845,+
446,chr4,57542378,57546353,+
447,chr18,78335781,78336542,+
448,chr9,102643317,102645182,+
449,chr13,73298273,73300313,+
450,chr3,152303122,152305850,+
451,chr1,12509175,12511893,+
452,chr16,34049639,34050680,+
453,chr11,11956741,11957743,+
454,chr2,163362452,163365471,+
455,chr19,21274083,21274843,+
456,chr10,56979107,56981816,+
457,chr8,57333127,57334891,+
458,chr18,80099931,80102587,+
459,chr13,118735523,118737413,+
460,chr16,18554167,18557637,+
461,chr9,41227901,41230545,+
462,chr16,26040837,26042843,+
463,chr9,120601908,120604533,+
464,chr8,25543010,25545762,+
465,chr3,88238231,88239375,+
466,chr9,62414648,62415677,+
467,chr10,31228890,31229864,+
468,chr13,115686618,115688040,+
469,chr7,93060868,93063626,+
470,chr7,48749000,48750980,+
471,chr13,15664353,15665305,+
472,chr12,27060073,27063099,+
473,chr8,121667954,121670941,+
474,chr12,71532267,71534767,+
475,chr16,37892143,37895218,+
476,chr12,88983897,88984926,+
477,chr19,41715401,41718238,+
478,chr6,93172037,93174010,+
479,chr16,17809210,17811153,+
480,chr7,136389299,136391216,+
481,chr17,84182447,84183800,+
482,chr2,4297326,4301456,+
483,chr18,55784853,55787217,+
